English sentence,Swahili Translation
That was the only way we could defend ourselves against all this terrible shooting.,Hiyo ndiyo njia ya pekee ambayo tunaweza kujitetea dhidi ya ufiatuaji huu wote mbaya.
"Then he got dressed, stuffed his lecture notes into his briefcase, and ran down the stairs.","Kisha akavaa, akaingiza maandishi yake ya hotuba ndani ya muhtasari wake, akakimbia ngazi."
"It then became necessary to settle the best route for the line to follow; and that was determined, in the first place, by the shape of the land it had to cross.","Kisha ikawa muhimu kuamua njia bora ya mstari kufuata; na hiyo iliamuliwa, kwanza na muundo wa ardhi ambayo ilibidi uvuke."
Many a man believes the story.,Mara nyingi binadamu huamini stori.
The old doctor gave individual attention to each patient.,Yule daktari mzee aliwashughulikia wagonjwa wake kwa makini.
There are very few passengers in the train.,Kuna watu wachache kwa gari la moshi.
Will the therapy cause me any pain?,"Je, tiba hiyo itanisababishia maumivu yoyote?"
The track meet was called off on account of the heavy rain.,Mkutano wa kukimbia ulisitishwa kwa sababu ya mvua kubwa.
The brave knight steps forward and kisses the lady on the hand.,Hatua ya ujasiri unasongea mbele na kumbusu bibi huyo kwa mkono.
Let's leave the problem until tomorrow.,Tuache iyo shida mpaka kesho.
The colors of the pattern are very ordinary.,Rangi za muundo ni za kawaida sana.
The widow suffered from stomach cancer.,Mjane huyo alipatwa na saratani ya tumbo.
The soldier lay injured on the ground.,Maaskari walilala chini wakiwa wamejeruhiwa.
The surface of the object is fairly rough.,Uso wa kitu ni mbaya.
The lady's funeral was held at the local church.,Mazishi ya mwanamke huyo yalifanyika katika kanisa la mtaa huo.
To prevent the disease from spreading quickly was not an easy task.,Ili kuzuia ugonjwa kuenea haraka haikuwa kazi rahisi.
The airplane flies at a speed of five hundred kilometers per hour.,Ndege inapepea kwa kasi ya kilomita mia tano kwa saa.
The cat took advantage of the high grass to creep on the bird.,Paka alitumia faida ya nyasi kuwa ndefu katika kummendea ndege.
"The fire, driven by an east wind, destroyed the center of the city.","Moto, ukiopeperushwa na upepo wa mashariki, uliharibu katikati ya mji."
There are subtle differences between the two things.,Kuna tofauti hila kati ya mambo haya mawili.
The island is covered with ice and snow during the winter.,Kisiwa hufunikwa na barafu na theluji wakati wa baridi.
"During that winter, writing occupied most of my free time.","Wakati huo wa msimu wa kipupwe, uandishi ulichukua muda wangu wa starehe."
The street is named for President Madison.,Barabara hii imepewa jina la Rais Madison
"If that city were a color, it would be a color with a quiet sort of dignity ... wine red, say.","Ikiwa jiji hilo lilikuwa rangi, itakuwa rangi na utulivu wa aina yake ... divai nyekundu, sema."
The town is located in the extreme north of Japan.,Mji huo upo kaskazini mwa Japan.
Among these there may be new sources of food fish and new species of other creatures.,Miongoni mwa hivyo huenda kuna vyanzo vipya ya samaki na aina nyingine ya viumbe
The man was too fat to move by himself.,Mwanamume huyo alikuwa na uzani mkubwa hivyo hangeweza kutembea kivyake.
The country's foreign trade depends entirely on this port.,Biashara ya nje ya nchi inategemea kabisa bandari hii.
The villagers serve their own needs by taking turns driving the bus.,Wanakijiji hutumikia mahitaji yao kwa kubadilisha usukani kuendesha basi.
The campaign succeeded and he won the election.,Kampeni zilifaulu na akashinda uchaguzi.
The ship will set sail for Hong Kong tomorrow at 3 p.m.,Meli hiyo itaanza safari ya Hong Kong kesho saa 9 mchana.
"Covered with dust, the doll stood in the corner of the room.",Doli ilisimama kwenye kona ya chumba ilikwa imefunikwa na vumbi.
"Terms were signed between Japan, Germany, Great Britain and the United States.","Masharti yalitiwa saini kati ya Japan, Germany, Uingereza na Marekani."
The castle stands three miles north of the town.,Kasri liko maili tatu kaskazini mwa mji.
The girl tore the cloth.,Msichana alichana nguo.
The path continues straight ahead for miles on end.,Njia inaendelea moja kwa moja kwa maili mwishoni.
The glove has a hole in the thumb.,Glovu imetoboka kwa kidole cha gumba.
"A group of scientists stood by, ready to record the experiment.","Kundi la wanasayansi lilisimama, tayari kurekodi majaribio."
Your success in the enterprise depends on your effort.,Kufanikiwa kwako katika biashara kunategemea bidii yako.
I arranged the business with Mr Brown.,Nilipanga biashara na Bw. Brown.
The cruel man beat the dog with a whip.,Mtu mkatili alimpiga mbwa kwa mjeledi.
That forest fire happened from natural cause.,Moto huo wa msituni ulisababishwa na hali ya kawaida.
The mountain is famous in myth and legend.,Mlima ni maarufu katika ngano na hadithi.
The author presented a copy of his latest book to me.,Mwandishi alinipatia nakala ya karibuni.
The performance was received with applause.,Maonyesho yalipokelewa kwa shangwe.
The ice on the lake is too thin to bear your weight.,Barafu iliyo kwenye ziwa ni nyembamba sana kubeba uzito wako.
The beauty of the lake is beyond description.,Urembo wa ziwa hauelezeki.
Only part of the building has been destroyed by the earthquake.,Ni sehemu moja ya jengo iliyoharibiwa na mtetemeko wa ardhi.
It's nothing impressive. It's just a bit part in that play.,Sio kitu cha kuvutia. Ni sehemu kidogo tu katika mchezo huo.
The alarm sent everyone rushing out of the room.,Kengele ilipeleka kila mtu kukimbilia nje ya chumba.
The cop was shot on his beat.,Polisi alipigwa risasi kwenye lindo lake.
The army was involved in a number of brilliant actions during the battle.,Jeshi lilihusika katika matendo mengi kadhaa wakati wa vita.
The lord held absolute power over his subjects.,Bwana alikuwa na mamlaka kabisa juu ya raia wake.
The church was built hundreds of years ago.,Kanisa lilijengwa mamia ya miaka iliyopita.
The article was an invitation for public protest against the newspaper.,Nakala hiyo ilikuwa mwaliko wa maandamano ya umma dhidi ya gazeti hili.
Students are forbidden to smoke on the school grounds.,Wanafunzi wanakatazwa kuvuta siraga kwenye maeneo ya shule.
The company couldn't cope with sudden changes.,Kampuni hiyo haikuweza kukabiliana na mabadiliko ya ghafla.
The company's financial year runs from April until March of the following year.,Mwaka wa kifedha wa kampuni hiyo unaanzia Aprili hadi Machi ya mwaka uliofuata.
I didn't commit myself to attend the meeting.,Sikuahidi kuhudhuria mkutano.
That song reminds me of a famous movie actor.,Wimbo huo unanikumbusha muigizaji maarufu wa sinema.
The scientist tried to discover Nature's laws.,Mwanasayansi alijaribu kugundua sheria Asili.
The family has been cursed with poor health.,Familia imelaaniwa kwa afya mbaya.
The dirty boy turned out to be a prince in disguise.,Mvulana mchafu aligeuka kuwa mwanamfalme.
The director used his power to arrange a special place in the cinema world.,Mkurugenzi alitumia nguvu yake kupanga mahali maalumu katika ulimwengu wa sinema.
The driver really screwed up the team when he drove them to the wrong playing field in a different town.,Dereva aliikosea timu kweli wakati alipowapeleka kwenye uwanja usiofaa wa kucheza ulio mji tofauti.
The rumor became common property.,Uvumi huo ukawa mali ya kawaida.
Whoever wins the race will receive the prize.,Yeyote atakayeshinda mbio atapata tuzo.
"Bear in mind that, under such circumstances, we have no alternative but to find another buyer.","Kumbuka kwamba, katika hali kama hizi, hatuna njia nyingine ila kupata mnunuzi mwingine."
The boat uses a motor for the power.,Mashua inatumia mota kuipa nguvu.
The parade was led by an army band.,Gwaride hilo liliongozwa na bendi ya jeshi.
The data was completely useless.,Data hiyo ilikuwa haina maana kabisa.
The monkey took a banana by means of the stick.,Tumbili alichukua ndizi kupitia kijiti.
The garbage is giving off a terrible smell.,Takataka inatoa harufu mbaya.
Two can play at that game.,Watu wawili wanaweza kucheza mchezo huo.
The money was put into a special fund to buy books for the school library.,Pesa hiyo iliwekwa katika mfuko maalum kununua vitabu kwa maktaba ya shule.
"Now, just let the clay slide between your fingers.","Sasa, acha tu udongo uteleze kati ya vidole vyako."
"And they will continue to influence the world through the excitement of their literature, movies and music.","Na wataendelea kushawishi ulimwengu kupitia msisimko wa fasihi zao, sinema na muziki."
There you see the gate which Mr Jones built.,Huko unaona lango ambalo Mr Jones aliijenga.
They were based on goods which the members of a society recognized as having value.,Zilitokana na bidhaa ambazo wanachama wa jamii walitambua kuwa zina thamani.
Mr Smith gave a lecture on literature.,Bwana Smith alitoa hotuba ya fasihi.
Mr Smith is accused of breach of contract.,Bwana Smith ameshtakiwa kwa uvunjaji wa mkataba.
Mr Smith proposed marriage to Jane.,Bwana Smith alimposa Jane.
"Talking of Professor Smith, his assistant is hard of hearing.","Kuzungumzia Profesa Smith, msaidizi wake ni mgumu kusikiliza."
Mr Smith is within shouting distance.,Bwana Smith yupo karibu.
A farewell party was held in honor of Mr Smith.,Hafla ya heri njema ilifanyika kwa heshima ya Bwana Smith.
Please connect me with Mr Smith.,Tafadhali wasiliana na Bw. Smith.
Every experiment required a protected environment and an entirely objective frame of mind.,Kila jaribio lilihitaji mazingira ya kulindwa na urazini kamili wa akili.
The spy sent information by code.,Jasusi huyo alituma habari kwa kuficha.
Steve received a letter from Jane.,Steve alipokea barua kutoka kwa Jane.
Scott received a very strict education.,Scott alipokea elimu madhubuti.
Susan eats like a bird and leaves most of the food on her plate.,Susan anakula kama ndege na kubakisha chakula kwenye sahani yake.
I beg your pardon. I didn't think this was your seat.,Naomba radhi. Nikufikiria hiki kilikuwa kiti chako.
It is rude to stare at strangers.,Ni kukosa heshima kuwaangalia wageni.
John always breaks the ice in class.,Kila wakati Jonh huteleza taarifa darasani.
John knows English history from A to Z.,John anajua historia yote ya Kiingereza.
Probably John will pass the examination.,Pengine John ataupita mtihani.
Mr Johnson suddenly changed his mind and signed the contract.,Bwana Johnson alibadilisha mawazo ghafla na kutia saini mkataba.
I can't understand why John turned down a job as good as that.,Siwezi kuelewa kwanini John alikataa kazi nzuri kama ile.
The shopping center is a mile further down the road.,Kituo cha ununuzi ni maili moja zaidi.
Mr Jordan woke up suddenly.,Bwana Jordan aliamka ghafla.
Mr George Bush is the forty-first president of the United States.,Bwana George Bush ndiye rais wa arobaini na moja wa Amerika.
Georgia is his native state.,Georgia ndio jimbo lake la asili.
Julie received a Christmas card from her brother in Italy.,Julie alipokea kasi ya Krismasi kutoka kwa kaka yake wa Italia.
Don't drop cigarette ash on the carpet.,Usiangusha jivu la sigara kwenye zulia.
Jack and Betty have been going steady for a month.,Jack na Betty wamekuwa na mahusiano thabiti kwa mwezi mmoja.
"Jack, Jill and Alice went up the hill.","Jack, Jill na Alice walipanda mlimani."
Mr Jackson has recently transferred to Tokyo from Los Angeles.,Bwana Jackson amehamia Tokyo kutoka Los Angeles hivi karibuni.
You cannot rely upon Jim's words since he tries to please everybody.,Hauwezi kutegemea maneno ya Jim kwani anajaribu kumpendeza kila mtu.
Jim and Mike threw the ball back and forth.,Jim na Mike walitupa mpira nyuma na mbele.
Jimmy is to some extent capable of performing this operation.,Jimmy kwa kiwango fulani anaweza kufanya operesheni hii.
But showing off the presents could embarrass the guests who did not bring one.,Lakini kuonyesha zawadi zake kunaweza kuwaaibisha wageni ambao hawakuleta chochote.
"But in many ways, the bird called Alex is unusual, for it has shown the kind of mental abilities that scientists once thought only humans had.","Lakini kwa njia kadhaa, ndege aitwaye Alex sio wa kawaida, kwa kuna ameonyesha uwezo wa kiakili ambao wanasayansi waliwahi kufikiri ni binadamu tu anao."
Did Jerry really win a lottery?,"Je, kweli Jerry alishinda bahati nasibu?"
Jeff thinks he will never fall in love.,Jeff anafikiri hawezi kuangukia kwenye mapenzi.
The jet plane landed following the instructions of the control tower.,Ndege ya jeti ilitua kufuatia maagizo ya mnara wa kudhibiti.
It is exciting to welcome Jane.,Inafurahisha kumkaribisha Jane.
Jane must stop giving way to her desire for chocolate.,Jane lazima aache tamaa yake ya chokoleti.
Whether Shakespeare wrote this poem or not will probably remain a mystery.,"Kama Shakespeare aliandika shairi hili au la, litaendelea kuwa fumbo."
Sally called on Mr Taylor.,Sally alimwendea Bwana Taylor.
"To make matters worse, he isn't even conscious of annoying his neighbors.",Jambo baya hata zaidi ni kwamba hata haoni kuwa anawakasirisha majirani zake.
"To make matters worse, he began to drink sake.","Kufanya mambo mabaya zaidi, alianza kunywa mvinyo wa sake."
The whole soccer team was on cloud nine after winning the championship.,Timu nzima ya mpira walifurahia sana baada ya kushinda ubingwa.
Let's break up the party.,Tusitishe tafrija.
"Now, go and have a good time. The work can wait.","Sasa, nenda kapumzike. Kazi inaweza kungoja."
A map is available upon request.,Ramani inapatikana ukituma ombi.
The machine again made the usual noise and printed out the following analysis.,Mashine tena ilifanya kelele ya kawaida na kuchapisha uchambuzi ufuatao.
Such treatment would make anybody rebel.,Utendaji huo ungefanya mtu yeyote kuasi.
"If you request a further discount, we suggest changing the terms of payment.","Ukiomba kipunguzi zaidi, tutakushauri ubadilishe masharti ya malipo."
These green leaves turn red or yellow in fall.,Majani haya ya kijani hugeuka nyekundu au manjano katika msimu wa kipupwe.
"As these trees grow tall, they rob the grass of light.","Miti hii inapokua ndefu, hunyakua mwangaza kwa nyasi."
What accounts for these symptoms hasn't been discovered yet.,Kinachosababisha dalili hizi hakijagunduliwa bado.
"In all my career as a travel agent, I never visited Africa.","Katika kazi yangu yote kama wakala wa kusafiri, sikuwahi kutembelea Afrika."
It is something my mother made.,Mama yangu alikifanyiza.
This is too good a chance to lose.,Hii ni nafasi nzuri sana ya kupoteza.
This tour takes in each of the five main islands.,Ziara hii inahusika visiwa vyote vitano.
Nothing can excuse him for such rude behavior.,Hakuna kinachoweza kumruhusu kwa tabia hiyo mbaya.
This tree has been standing for five decades.,Mti huu umekuwa ukisimama kwa miongo mitano.
This book will be helpful to your study.,Kitabu hiki kitasaidia katika masomo yako.
This art collection is rich in paintings by Dutch masters.,Mkusanyiko huu wa sanaa ni tajiri katika picha za kuchora na mabwana wa Uholanzi.
There seems to be some genetic problem with this animal.,Inaonekana kuna shida ya kimaumbile kwa mnyama huyu.
Most snakes on this island are harmless.,Nyoka nyingi katika kisiwa hiki hawadhuru.
The city was ruined by the brutal force of nature.,Jiji liliharibiwa na nguvu ya kikatili ya asili.
Is there a museum in this town?,"Je, kuna makumbusho katika mji huu?"
The frequency of crime in the town is high.,Masafa ya uhalifu mjini ni kubwa.
This boy has a strong and healthy body.,Mvulana huyu ana mwili thabiti na yenye afya.
I name this ship the Queen Elizabeth.,Naita meli hii Malkia Elizabeth.
Add up this column of figures.,Ongeza kolamu hii kwenye jedwali.
There are a great many books in this library.,Kuna vitabu vingi vizuri maktabani.
This lady witnessed an accident at three o'clock this afternoon.,Mwanamke huyi alishuhudia ajali saa tisa za mchana leo.
We'll need a head hunting agency to find the right man for this executive position.,Tutahitaji wataamu wa ajira kupata mtu anayefaa kwa msimamo huu wa mtendaji.
"When I have finished writing the letter, I will take you to the lake about two miles beyond the hill.","Nikimaliza kuandika barua, nitakupeleka kwenye ziwa umbali wa maili mbili zaidi ya kilima."
This clock strikes the quarter hour.,Saa hii inagonga robo saa.
This job makes tremendous claims on our emotional strength.,Kazi hii inafanya madai makubwa kwa uwezo nguvu zetu za kihisia.
"According to this magazine, my favorite actress will marry a jazz musician next spring.","Kulingana na gazeti hili, mwigizaji wangu pendwa atamuoa mwanamuziki wa jazz msimu ujao."
I hope this expense report contains all the relevant business expenses because I'm not paying a cent more after this.,Natumahi ripoti hii ya gharama ina gharama zote muhimu za biashara kwa sababu sitalipa senti nyingine zaidi baada ya hii.
Please accept our apologies for the trouble this matter has caused you.,Tafadhali ukubali msamaha wetu kwa tatizo ambalo jambo hili limesababisha.
This project will involve 50 trained staff members.,Mradi huu utahusisha wafanyakazi 50 waliopitia mafunzo.
This church dates from the 12th century.,Kanisa hili lilianzia karne ya 12.
The butcher who sold me this beef is always friendly.,Mchinjaji aliyeniuzia nyama hii ni rafiki kila wakati.
This rule does not apply to the case.,Sheria hii haitumiki kwa kesi hiyo.
This machine answers to human voice.,Mashine hii inajibu sauti ya mwanadamu.
I'd like to take advantage of this opportunity to thank you all for your cooperation.,Ningependa kuchukua nafasi hii kuwashukuru nyote kwa ushirikiano wenu.
This desk is different from the one I ordered.,Dawati ni tofauti na nililoagiza.
This painting will pass for genuine.,Picha hii itathibishwa kuwa halisi
I felt like a fish out of water at this firm.,Nilihisi kama samaki nje ya maji katika kampuni hii.
The fire reduced the whole village to ashes.,Moto ulipunguza kijiji kizima kuwa majivu.
The scientist is famous not only in Japan but also in foreign countries.,"Mwanasayansi huyo sio maarufu nchini Japan tu, bali pia katika nchi za nje."
"With this one exception, it is quite wrong to suppose that a simple culture will also have a simple language.","Kwa kighairi hiki kimoja, si sawa kudhani kuwa utamaduni ulio rahisi pia una lugha rahisi."
Does this bus go to the train station?,"Je, basi hili hufika kwenye kituo cha treni?"
The owner of this bar never sells liquor on credit.,Mmiliki wa bar hii huwa hauzi pombe kwa deni.
This theme should be treated in more detail.,Mada hii inapaswa kushughulikiwa kwa undani zaidi.
This chocolate is very sweet and tasty.,Chokoleti hii ni tamu sana na ina ladha.
This tire is showing wear.,Tairi hii inaonekana kuzeeka.
This symbol stands for strength and integrity.,Ishara inasimamia nguvu na uadilifu.
Don't pour hot water into the glass or it will crack.,Usimimine maji ya moto kwenye glasi au itapasuka.
The glass crashed to the ground.,Kioo kilianguka chini.
This is Miss Curtis.,Huyu ni Bi Curtis.
This is the TV station where my uncle works as an announcer.,Hii ndio kituo cha Runinga ambapo mjomba wangu hufanya kazi kama mtangazaji.
"Between ourselves, he keeps a mistress.","Baina yetu, anaendelea mpenzi wa kando."
"It's the same wherever you try and escape: everywhere is a death row, and everyone's a victim.","Ni sawa popote unapojaribu na kutoroka: kila mahali kuna safu ya kifo, na kila mtu ni mwathirika."
How long does it take from here to the station?,Inachukua muda gani kutoka hapa hadi stesheni?
Gordon has had his head in the clouds all week.,Gordon amekuwa na mawazo mengi wiki nzima.
I'd like seats about fifty yards from the court.,Ningependa viti viwe karibu na yadi hamsini kutoka kwa bustani.
The coach made the players run five miles a day.,Kocha huyo aliwafanya wachezaji kukimbia maili tano kwa siku.
Kelly cleared his throat and begin to speak.,Kelly alisafisha koo lake na kuanza kuongea.
"President Kennedy was killed, but his legend will live on forever.","Rais Kennedy aliuawa, lakini hadithi yake itaishi milele."
It was not until Kay received the doll that she stopped crying.,Ilikuwa hadi Kay alipopokea yule doli ambapo aliacha kulia.
Credit is the amount or sum placed at a person's disposal by a bank; a loan of money.,Mikopo ni kiasi au jumla iliyowekwa kuombwa na mtu; mkopo wa benki.
It's dangerous to tell Chris your secrets because he tells everybody.,Ni hatari kumwambia Chris siri zako kwasababu atamwambia kila mtu.
Chris was hired to paint houses and was able to raise the money.,Chris aliajiriwa kupaka nyumba rangi na aliweza kupata pesa hizo.
Cathy had her hat blown away.,Kofia ya Cathy ilipeperushwa.
The rough material hurt the child's tender skin.,Kitu kilimuumiza mtoto ngozi yake nyororo.
Kim's smile was very sweet.,Tabasamu la Kim lilikuwa tamu sana.
Playing country-western music on guitar is real kid stuff to a true professional.,Kucheza muziki wa nchi za magharibi kwenye gita ni vitu halisi vya watoto kwa mtaalamu wa kweli.
Cancer can be cured easily if it is found in its first phase.,Saratani inaweza kutibiwa kwa urahisi ikigunduliwa mapema.
Hold the button down until you hear the shutter make a clicking sound.,Shika kitufe chini hadi usikie kifuniko kikitoa sauti ya kubonyeza.
The Catholic Church is opposed to divorce.,Kanisa Katoliki linapinga talaka.
Cocktail parties can be boring.,Karamu za mapema jioni zinaweza kusinya.
It took me by surprise to hear that Carl was moving to Germany.,Ilinishangaza kusikia kwamba Carl alikuwa akihamia Ujerumani.
It was yesterday morning that I saw Mr Carter.,Ilikuwa jana asubuhi nilimwona Bwana Carter.
"Excuse me for interrupting you, but would you mind opening the window?","Niwie radhi kwa kukukatiza , lakini unaweza kuifungua dirisha hii ?"
Do you have any bags to check?,Una mifuko yoyote ya kuangalia?
Your beauty turns me pale.,Urembo wako unanigeuza rangi.
"This way, please, mademoiselle.","Tafadhari, njia ni hii dada."
The visitor has gone away five minutes before you came back.,Mgeni amekwenda dakika tano kabla ya hujarudi.
Most funny stories are based on comic situations.,Hadithi nyingi za kuchekesha zimeundwa kutokana na hali za ucheshi.
The man who nearly drowned began to breathe.,Mwanaume ambaye karibu azame alianza kupumua.
The opera starts at seven.,Opera unaanza saa saba.
The frightened boy's voice was shaking with terror.,Sauti ya mtoto wa kiume aliyeogopa ilitetema kwa hofu.
What a feast we had when we visited my aunt!,Tulipomtembelea shangazi tulifurahia karamu nzuri sana.
My grandma injured her leg in a fall.,Nyanya yangu alijeruhi mguu wake alipoanguka.
"Excuse me but, would you kindly lift that box for me?","Samahani, unaweza kuniinulia sanduku tafadhali?"
"My uncle retired from teaching last year, but he still managed to hang onto a position at the university.","Mjomba wangu alistaafu kutoka kuwa mwalimu mwaka jana, lakini bado anshikilia cheo katika chuo kikuu."
Amy worked in the yard last Saturday.,Amy alifanyakazi uwanjani Jumamosi iliyopita.
That looks like the kind of guy who'd buy me lots of designer goods tee-hee-hee.,Hiyo inaonekana kama aina ya mtu ambaye angenunulia bidhaa nyingi za wabunifu tee-hee-hee.
He's in the money.,Yuko ndani ya pesa.
Mr Wood has his secretary type his letters.,Katibu wa Bw. Wood alimwandikia barua zake.
Mr Wood came to the door and spoke to Tony's mother.,Bwana Wood alifika mlangoni na kuzungumza na mama ya Tony.
"In India, the cow is a sacred animal.","Huko India, ng'ombe ni mnyama takatifu."
The Internet is very useful for knowing the circumstances of each part of the world.,Intanet inasaidia sana watu kujua mazingira ya kila sehemu ya dunia.
I'm so sorry about what I did. I wish I could just crawl into a hole and die.,Samahani sana kwa kile nilichofanya. Natamani hata nianguke kwenye shimo na kufa kabisa.
What a glorious fall day. This is what they mean by the lovely weather you get after a storm.,Siku njema iliyoje. Hii ndio maana ya hali ya hewa nzuri unayopata baada ya dhoruba.
When shall I come for you?,Ni wakati upi mwafaka wa kukuchukua?
Just wandering around can be a good way to travel.,Kuzunguka tu inaweza kuwa njia nzuri ya kusafiri.
No country should interfere in another country's internal affairs.,Hakuna nchi inapaswa kuingilia mambo ya ndani ya nchi nyingine.
We have good news.,Tuna habari nzuri.
"No, please dial nine first.","Hapana, tafadhali bonyeza tisa kwanza."
Anne accepted Henry's proposal.,Anne amekubali ombi la Henry.
I think Ann loves Jack.,Nadhani Ann anampenda Jack.
One Sunday morning George burst into the living room and said the following.,Jumapili moja asubuhi George aliingia sebuleni na kusema yafuatayo.
One day Mike and Jane went downtown to do some shopping.,Siku moja Mike na Jane walikwenda jijini kwa ununuzi.
A woman lost her driver's license while she was shopping the other day at a department store.,Mwanamke alipoteza leseni yake ya udereva alipokuwa akinunua bidhaa juzi kwenye duka la idara.
Albert is engaged in foreign trade and often goes abroad.,Albert anajihusisha na biashara ya nje na mara nyingi huenda nje ya nchi.
Americans pay both federal taxes and state taxes.,Wamarekani wanalipa ushuru wa jimbo na serikali.
The United States seems to have got caught up in the troubles between the three nations in Asia.,Amerika inaonekana kuwa ilikumbana na shida kati ya mataifa matatu huko Asia.
In American football the defense has a specific job.,Katika soka la Amerika ulinzi una kazi fulani.
"In the justice system of the United States, there are twelve people on a jury.","Katika mfumo wa haki wa Amerika, kuna watu kumi na wawili kwenye benchi."
In the United States it is popular for girls to learn to skip rope.,Huko Amerika ni maarufu kwa wasichana kujifunza kuruka kamba.
"While some private and church schools in America have uniforms, they are not common.","Wakati shule zingine za kibinafsi na za kanisa huko Amerika zina sare, sio kawaida."
She was the last person I expected to meet that day.,Alikuwa ni mtu wa mwisho nilitarajia kumwona leo.
That store sells a wide range of goods.,Duka hilo huuza bidhaa kadhaa.
That store sells many things besides furniture.,Duka hilo huuza vitu vingi zaidi ya fanicha.
That building whose roof is brown is a church.,Jengo ambalo paa lake ni kahawia ni kanisa.
Look at those black clouds.,Tazama mawingu yale meusi.
That theater has a foreign film festival every other month.,Kwamba thieta ina tamasha ya filamu ya kigeni kila mwezi.
They are putting P on at that theater.,Wanawasha P kwenye thieta.
Men's suits are on sale this week at that department store.,Suti za wanaume zinauzwa wiki hii katika duka hilo la idara.
That salesman looks pretty smart.,Mtu huyo wa mauzo anaonekana mzuri sana.
That commercial makes a strong impression - especially the music. It stays in your head.,Matangazo hayp ya biashara huleta hisia kali - hasusna muziki. Inakaa kichwani mwako.
Do you know who that tall blonde girl in green is?,"Je, unajua msichana huyo mrembo aliye na rangi ya hudhurungi na nguo ya kibichi ni nani?"
The relationships among those five people are complicated.,Mauhusiano kati ya hao watu watano ni magumu.
Did you go to Ming's party last Saturday?,"Je, ulienda kwa tafrija ya Ming Jumamosi?"
You've never been to Paris?,Hujawahi kwenda Pari?
Your shipment should be delivered within twenty four hours.,Mizigo yako inapaswa kufika ndani ya masaa ishirini na nne.
"You can't imagine it, can you?","Hauwezi kufikiria, unaweza?"
"If you act like a fool, you must be treated as such.","Ikiwa unatenda kama mjinga, lazima uchukuliwe kama vile."
Mr Adams was foolish to agree to the proposal.,Bwana Adams alikuwa mjinga kukubali lile pendekezo.
I make a special point of avoiding that shop.,Ninafanya juhudi ili nilihepe duka lile.
Ireland and England are separated by the sea.,Ailandi na Uiengereza zimetenganishwa na bahari.
Ouch! My foot!,Ouch! Mguu wangu!
"Oh, the toast is burned black.","Oh, tosti umechomeka kuwa nyeusi."
Can you absolutely assure delivery by August 15?,"Je, unaweza kuwahakikishia utoaji kufikia Agosti 15?"
Thank you for your letter of July 25 and the fabric sample.,Asante kwa barua yako ya Julai 25 na mfano wa kitambaa.
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","Baada ya kupanda kwa takribani masaa sita, hatimaye tulifanikiwa kufikia kilele cha mlima."
My airport shuttle bus leaves at six o'clock.,Basi langu kutoka uwanjani wa ndege linaondoka saa kumi na mbili.
The third star belonged to a certain king.,Nyota ya tatu ilikuwa ya mfalme fulani.
March comes between February and April.,Mwezi wa Machi upo kati ya Februari na Aprili.
The path between the two houses was blocked by snow.,Upenyo uliokuwepo Kati ya nyumba mbili uliharibiwa na barafu.
"We have two spare rooms upstairs, neither of which has been used for years.","Tunayo vyumba viwili vya akiba, lakini hakuna kati hivo viwili hakuna kilichotumiwa kwa miaka."
Sum up the passage within 200 words.,Fupisha kifungu hiki kwa maneno yasiyozidi 200.
"We'll release the final agenda on the morning of Monday, January 20, so please reply quickly.","Tutatoa ajenda ya mwisho asubuhi ya Jumatatu, Januari 20, kwa hivyo tafadhali jibu haraka."
A dollar is equal to a hundred cents.,Dola ni sawa na senti mia.
"During the Depression in the 1930's, many wealthy people lost everything in the stock market crash.","Wakati wa Unyogovu miaka ya 1930, watu wengi matajiri walipoteza kila kitu kwenye soko la hisa."
"In 1860, Lincoln was elected President of the United States.","Mnamo 1860, Lincoln alichaguliwa kuwa Rais wa Amerika."
"In 1853, Perry asked Japan to open the door to America.","Mwaka wa 1853, Perry aliuliza Japan ifungulie Marekani mlango."
"In 1603, when King James I came into power, football was allowed again.","Mwaka 1603, Mfalme James wa kwanza alipoingia madarakani, mpira wa miguu uliruhusiwa tena."
"We must leave the hotel before 10 a.m., otherwise we will miss the train for Miami.","Lazima tuondoke hotelini kabla ya saa 10 asubuhi, vinginevyo tutakosa treni ya Miami."
The fog began to disappear around ten o'clock.,Ukungu ulianza kutoweka karibu saa kumi.
Can you lend me a dime?,"Je, unaweza kuniazima senti kumi?"
The words 'beautiful' and 'ugly' are relative terms.,Maneno 'mrembo' na 'mbaya' ni maneno ya kawaida.
"""How are you feeling this morning?"" ""Pretty good, thanks.""",Habari yako leo? Vizuri! Asante.
"What are you referring to by ""relationship""?","Unamaanisha nini ukisema ""uhusiano""?"
You're taking on the company style.,Sasa umeanza kujizoesha mienendo ya kampuni.
"By signing the contract, I committed myself to working there for another five years.","Kwa kusaini mkataba, nilijitolea kufanya kazi huko kwa miaka mingine mitano."
Thank you for the draft of the Agreement.,Asante kwa huu mswada wa makubaliano.
The police are investigating the cause of the crash around the clock.,Polisi wanachunguza sababu ya ajali hiyo saa nzima.
The police broke up the fight.,Polisi walivunja mapigano.
The police are looking into the cause of the accident.,Polisi wanachunguza kisababishi cha ajali.
"At the theater, Kathy changed seats with her mother.","Katika ukumbi, Kathy alibadilisha viti na mamake."
"Shot, huh?","Piga, huh?"
He is by no means a pleasant fellow to associate with.,Yeye si mtu mzuri wa kushirikiana naye.
